Id,Uuid,TeamNumber,MatchNumber,ScoutName,Comments,Auto_Mobility,Auto_Docked,Auto_Engaged,Auto_Cubes_Top,Auto_Cubes_Mid,Auto_Cubes_Low,Auto_Cones_Top,Auto_Cones_Mid,Auto_Cones_Low,Tele_Cubes_Top,Tele_Cubes_Mid,Tele_Cubes_Low,Tele_Cones_Top,Tele_Cones_Mid,Tele_Cones_Low,Endgame_Parked,Endgame_Docked,Endgame_Engaged,Auto_Cubes,Auto_Cones,Tele_Cubes,Tele_Cones,Total Game Pieces
,b324eecc-aa2c-4c61-8f0b-af4a75cff639,7407,74,Nicholas,"Great robot, played incredibly.",1.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,1.00,0.00,1.00,1.00,2.00,1.00,0.00,4.00,7.00
,85bb93f4-26e6-4ba5-a7db-656bf225a477,7407,84,zzzzzzzzzz,they did great. Many pieces scored,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,2.00,2.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,5.00,8.00
,fa4c4bbd-7111-48c7-b02a-2b0a30403d8d,7407,46,jason,3point auto fail fast efficient pretty quick placement last second charge fail,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,2.00,3.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,5.00,9.00
,f3d51e12-d79d-46a7-9305-f95992b75259,7407,59,evn,Nice auto.,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,2.00,1.00,2.00,3.00,8.00
,b2053225-a1a6-4a94-be85-fbd2036145f4,7407,67,logan,,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,2.00,3.00,1.00,1.00,0.00,0.00,1.00,1.00,2.00,6.00,10.00
,f69b6787-6bb6-4da8-a271-1d763724c290,7407,79,Rahcek,Didn't completely pay attention because of us. but three piece auto over bump,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,2.00,1.00,2.00,2.00,7.00
,624bef49-4a1d-4f5a-9afb-4885ca89b601,7694,5,evn,Auto bugged. Has trouble holding objects. Arm most likely broke along or before auto.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,3.00,0.00,3.00
,990dab6d-b261-4d8f-b1fd-1d4cddaf7e0c,7694,14,evn,Failed engage on auto. Slow.,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,2.00,4.00
,ffa409a5-aa87-4487-8cbf-ecea8e3287b0,7694,40,DAB,"Grabber not working well, pushing cubes in.",1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,3.00,0.00,4.00
,bd120240-c6d2-41d3-ba30-a3094174ccb9,7694,30,Rahvek,"Messed up charge station auto. does defence. slow, hard to push",1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
,1ef16fc9-9230-4c89-ba2b-28d0694e0fbc,7694,48,Zannnnnder,Kinda useless. in the way a lot. Struggled to grab pieces. ,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,2.00
,ce9e2187-595a-447d-9a41-463ac1ca3367,7694,54,Laura,No top scoring. Didn't try for middle but arm looks long enough. Only tried for cubes. ,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,3.00,0.00,4.00
,b5513b58-057b-4bc6-9304-64099629eaaf,7694,83,zzzzzzzzzz,The googly eyes are the only positive thing I can think of. They sat in the middle of everything most of the match and did nothing. like a really really really bad defense strategy. ,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,2.00
,4e764cba-413a-4a7a-a3d2-2fddab4d00b2,7694,64,logan,Defense they are team with the giant googly eyes,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
,6f79e63a-2414-438c-884e-80e4a3e84273,7694,75,evn,Auto failed. Slow. Docked at the end.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.00,2.00
,516049fd-2694-44a2-b276-88b6df6003a6,7694,91,Laura,Decent defense. ,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,2.00
,156003e4-c9d4-4271-ae92-8fc6beaf3770,7695,35,Laura,Interesting claw. picks up both cones and cubes. not horrible.,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,3.00,0.00,4.00
,50b92212-bb56-422d-b096-99a164902495,7912,15,Rahcek,Bad at piece stuff. little confused with defense,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,3.00
,86c080e7-7148-4380-9ddd-b61105a64587,7913,20,Pauuuuul,Looks like they popped a cube. not a great scorer ,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,2.00,1.00,4.00
,fbb1db8d-1fcf-4693-8ca2-8c91381703cb,7913,7,Logan,We won with them,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,1.00,0.00,1.00,0.00,3.00,4.00
,481148ce-c67f-4b90-8d89-dc2056f535d9,7913,30,Laura,Can take from human player. Unique claw(?). ,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,4.00,5.00
,9bf284a2-f225-44e7-acf7-58d0cbd85021,7913,35,Nicholas,"Works well, really average capability.",1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,2.00,4.00
,76cfa7a2-0779-4c0a-b34e-47bfc9544586,7913,59,Nicholas,Huge grabber isn't too consistent at its job,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,3.00,4.00
,a12c874e-18b7-405b-8c5d-e22bb0e40e75,7913,45,evn,,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,0.00,1.00,1.00,1.00,0.00,1.00,3.00,5.00
,9dd5386f-1fab-480d-a06f-9b2576014086,7913,66,Jennifer,,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,4.00,0.00,5.00
,4b1a326f-d75d-464c-9e12-e355d28da8fb,7913,73,Jennifer,"Wrong Robot, needs to be 999
dropped cone at top
slow to release cone",0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,2.00,4.00
,b2d65b1c-ae66-44a0-9c4d-77f7119cb08c,7913,74,Jennifer,"Dropped cone in auto
 Good defense.",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
,bb1e0107-a60d-4b5d-8d30-cc6a92a0dd21,7913,82,zzzzzzzzzz,"big, bulky, slow intake. ",1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,2.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,3.00,1.00,5.00
,59ec030a-4636-4fc6-8c95-dca5829fd65b,7913,52,Rahcek,Very slow. but can do it. ,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,3.00,5.00
,201e2361-2315-4e8c-8845-7470b4544819,7913,88,Jennifer,Difficult getting cone from shelf of human player,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,4.00,1.00,6.00
,e137fa78-b893-4289-bbb8-cd5cbf4dbe22,8013,3,zannnnnder,Very tippy with swerve drive. ,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,3.00,2.00,6.00
,74040d5b-9036-4bf4-bce2-320373b16197,8013,15,jason,my brain blanked for this Idk sry,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,4.00,5.00
,bb59d3fc-757c-4a2e-aeed-21f981cdfead,8013,30,evn,Ok auto. Kicked a cube in at the same time of placing one up top. Slightly aggressive. Sabotaged at the end of the game by deactivating their team's charge station with 2 seconds left.,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,2.00,3.00,6.00
,08168aa1-899d-4561-a63b-d30668cfd2fb,8013,20,Laura,Can pick up from human player station. Can pick up cones. Fast. Efficient.,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,0.00,3.00,3.00,7.00
,61ae8adb-6929-45ca-a928-0df45e7ee3e0,8013,55,Nicholas,Did very well.,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,1.00,1.00,5.00,7.00
,aa4b4498-a8df-4b28-ba76-14c7e0175f47,8013,36,Rahvek,slow and bad at piece handling,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,3.00,4.00
,69542db4-3c3f-406c-82ce-aed06093e3c3,8013,77,Nicholas,played well. really falling into a groove with all the teams.,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,4.00,7.00
,e8d2ebd5-42fb-4692-8794-a80a53557788,8013,43,Jean,,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,5.00,6.00
,c1f5f760-3353-4a0c-ae9e-5bf7c2b7db14,8013,49,Rahcek,Not moving. says it's still connected. nope. now not connected. ,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
,1819fc64-47d0-4f7d-92f4-bb84b597b3fa,8013,90,jason,,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,2.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,3.00,5.00
,ac412137-d121-42a0-b9fa-4c22182a7105,8013,70,logan,Stuck on wall,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,4.00,6.00
,d333a666-6232-4697-8ff5-12d3eec7f844,8085,3,evn,Ok auto. A bit slow. No top scoring.,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,0.00,2.00,0.00,0.00,1.00,1.00,0.00,1.00,3.00,2.00,6.00
,302d7c23-dcd2-459a-a069-e76224357bda,8085,8,Nicholas,Held multiple game pieces at once. quick and efficient swerve.,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,2.00,2.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,3.00,3.00,8.00
,72d433bd-1f0c-47aa-ab09-98b12e28970d,8085,16,jason,Super efficient and fast,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,2.00,3.00,0.00,0.00,1.00,1.00,1.00,1.00,2.00,5.00,9.00
,5ed9351b-477c-449a-ab13-a07ddfc8681f,8085,29,Zannnnnder,Auto got caught on the charge station and messed everything up. ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,2.00,2.00,5.00
,c1878d2d-7ab7-447d-a79f-3353b92cc2b1,8085,35,Zannnnnder,Was carrying 2 cones because one got stuck in the robot. ,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,2.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,4.00,1.00,6.00
,33a7e5e0-bbc5-4b40-84c4-746cf5309cde,8085,47,Zannnnnder,Missed second piece in auto. They are the opposite of water. They take the path of most resistance. they always try to go where there's someone in the way and waste time waiting for the other robots to move. ,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,3.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,2.00,3.00,6.00
,61571b27-8369-431e-ba00-06d4c908e795,8085,40,Jean,stopped moving 15 second into tele-op. it looks like the front bumper might be stuck in lower station.,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,2.00
,db83c012-36ae-41c2-bc1d-d8d3a72af4de,8085,55,Rahcek,Completely messed up auto. fast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,2.00,1.00,1.00,0.00,0.00,0.00,1.00,2.00,4.00,7.00
,57490f13-2f89-4b7f-980e-cdc4439d0298,8085,89,Jean,,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,2.00,3.00,6.00
,e6cea534-88e9-47d6-829c-9e611412c751,8085,69,evn,Bugged auto. Dropping cones accidentally into low.,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,4.00,5.00
,f995bb54-87b8-4cf7-8313-e2b9b45915bb,8085,61,logan,Can easily get cone stuck in their robot,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,2.00,2.00,1.00,0.00,0.00,0.00,1.00,1.00,3.00,5.00,10.00
,f5ff2318-7f28-4680-9364-ec1ddf760827,8085,82,Laura,Fast. Efficient. Can pick up cones. Can pick up sideways cones. Can do high scoring. Can pick up from human player station. Bad auto.,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,4.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,6.00,7.00
,d141c19a-7931-40d6-8527-895372be8ad8,8095,90,Jean,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,224e4595-e951-45ea-a680-7740384126ae,8167,1,Rahcek,Not moving. connecting issues whole match.,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
,6fb175f2-89ce-4980-affd-f1c502bcf1a8,8167,8,jason,Average pickup kinda slow placement fast for a tank drive tho,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,3.00,4.00
,2db5d405-1f20-482e-bb77-0a29ff6c0aa0,8167,39,Zannnnnder,Slow scoring. slow picking up. ,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,3.00,4.00
,7a1a64e4-a549-41fa-af62-8785dd2ca623,8167,17,Laura,Fast. Can pick up cones. Can do high scoring. Can pick up from human player station.,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,3.00,4.00
,6737a4d7-0596-4316-bfc7-02e63a312985,8167,34,evn,Ok auto. Disconnected at the start of the game after auto. Came back at 80 seconds.,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,2.00,3.00
,1d58d917-e89a-4d8e-bc37-5282087f9e1d,8167,52,Nicholas,"fast, but bad at scoring. ",0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,2.00,3.00
,81fb5c29-4dfc-45ae-aaf3-cda69addf5be,8167,25,jason,Couldn't track it but got auto and end,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
,932ee9e1-874b-410c-8343-54a26cd1ce9e,8167,75,zaannnnder,very slow pickup. also knocked over the upside down cone,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,2.00
,0b6bb3a8-8368-45f5-921c-ee10ccb81e88,8167,90,zzzzzzzzzz,They seemed okay ish... I wasn't really watching this one. ,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,3.00
,94865231-ca32-4737-b338-426da314cd9d,8167,82,Jean,way too tippy,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,4.00,6.00
,765dcac0-714d-4c67-8d9d-b02ddbe9ef13,8167,60,evn,,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,2.00,4.00
,8cdf508b-6b3c-404d-9a11-b43d014317f6,8167,68,Jean,,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,3.00,4.00
,b61c8c70-6387-4797-a82f-0ad421c86411,8604,3,Rahcek,Not doing anything. just in the way. when it does do something it can't puck it up,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,2.00,0.00,3.00
