TeamNumber,MatchNumber,ScoutName,Comments,Auto_Mobility,Auto_Docked,Auto_Engaged,Auto_Cubes_Top,Auto_Cubes_Mid,Auto_Cubes_Low,Auto_Cones_Top,Auto_Cones_Mid,Auto_Cones_Low,Tele_Cubes_Top,Tele_Cubes_Mid,Tele_Cubes_Low,Tele_Cones_Top,Tele_Cones_Mid,Tele_Cones_Low,Endgame_Parked,Endgame_Docked,Endgame_Engaged,Auto_Cubes,Auto_Cones,Tele_Cubes,Tele_Cones
131,50,terri,,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,2.00,0.00
131,58,Ms. cow,,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,2.00
133,1,jason,,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,5.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,6.00,2.00
133,13,Zander,Match under review???? why is it always us?,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,4.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,6.00,1.00
133,18,jason,,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,4.00,2.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,5.00,3.00
133,26,Laura,Stupid nerd-bot! The bot is a nerd! The team is a nerd! They're all such stupid nerds! And what's with the bird!? It's supposed to be a SCOTTISH MAN not a stupid nerd bird!,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,5.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,7.00,1.00
133,33,evn,lol. ,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,0.00,4.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,7.00,1.00
133,41,Laura,"Absolutely outstanding drive team! Especially the one they keep calling ""Gabe"" I mean look at that mustache! so majestic!",0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,5.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,7.00,1.00
133,47,Mr Cow,Wow! did you guys see that purple robot? it has hands!,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,5.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,6.00,2.00
133,55,aiden,"Gabe has a fake mustache. Lucas is an ok human player. Keith is the best driver.",0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,5.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,6.00,1.00
133,59,Ms. cow,So bad,1.00,1.00,1.00,3.00,3.00,9.00,6.00,6.00,9.00,3.00,3.00,9.00,6.00,6.00,9.00,1.00,1.00,1.00,15.00,21.00,15.00,21.00
172,3,Zander,No auto. Slow arm. Good scoring when they can pick things up. ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,5.00,0.00
172,9,Laura,Hard aim but not bad.,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,2.00
